Model_File,Architecture,Likely_Val_Fold,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Fold_1_Acc,Fold_2_Acc,Fold_3_Acc,Fold_4_Acc,Fold_5_Acc
mobilenet_v2_Audio_Augmentation_best.pth,mobilenet_v2,2,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,100.0,98.21428571428571,100.0,100.0,100.0
mobilenet_v2_No_Augmentation_best.pth,mobilenet_v2,1,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,98.21428571428571,100.0,100.0,100.0,100.0
mobilenet_v2_Spectrogram_Augmentation_best.pth,mobilenet_v2,1,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,98.21428571428571,100.0,100.0,100.0,100.0
mobilenet_v2_Hybrid_Augmentation_best.pth,mobilenet_v2,3,96.42857142857143,0.9714285714285714,0.9642857142857143,0.9650793650793652,98.21428571428571,100.0,96.42857142857143,100.0,96.42857142857143
efficientnet_b0_Audio_Augmentation_best.pth,efficientnet_b0,2,94.64285714285714,0.961038961038961,0.9464285714285714,0.9444765760555234,100.0,94.64285714285714,98.21428571428571,100.0,94.64285714285714
efficientnet_b0_Hybrid_Augmentation_best.pth,efficientnet_b0,5,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,100.0,100.0,100.0,100.0,98.21428571428571
efficientnet_b0_No_Augmentation_best.pth,efficientnet_b0,1,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,98.21428571428571,100.0,100.0,100.0,100.0
efficientnet_b0_Spectrogram_Augmentation_best.pth,efficientnet_b0,2,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,100.0,98.21428571428571,98.21428571428571,100.0,100.0
mobilenet_v3_Audio_Augmentation_best.pth,mobilenet_v3,1,100.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0
mobilenet_v3_Hybrid_Augmentation_best.pth,mobilenet_v3,1,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,98.21428571428571,100.0,100.0,100.0,100.0
mobilenet_v3_No_Augmentation_best.pth,mobilenet_v3,3,94.64285714285714,0.9535714285714285,0.9464285714285714,0.9472222222222223,100.0,100.0,94.64285714285714,100.0,100.0
mobilenet_v3_Spectrogram_Augmentation_best.pth,mobilenet_v3,1,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,98.21428571428571,100.0,100.0,100.0,100.0
regnet_y_800mf_Audio_Augmentation_best.pth,regnet_y_800mf,2,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,100.0,98.21428571428571,100.0,100.0,100.0
regnet_y_800mf_Hybrid_Augmentation_best.pth,regnet_y_800mf,1,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,98.21428571428571,100.0,100.0,100.0,100.0
regnet_y_800mf_No_Augmentation_best.pth,regnet_y_800mf,4,96.42857142857143,0.9682539682539684,0.9642857142857143,0.9627851140456183,100.0,100.0,100.0,96.42857142857143,100.0
regnet_y_800mf_Spectrogram_Augmentation_best.pth,regnet_y_800mf,1,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,98.21428571428571,100.0,100.0,100.0,100.0
shufflenet_v2_Audio_Augmentation_best.pth,shufflenet_v2,3,96.42857142857143,0.9714285714285714,0.9642857142857143,0.963718820861678,98.21428571428571,100.0,96.42857142857143,100.0,100.0
shufflenet_v2_Hybrid_Augmentation_best.pth,shufflenet_v2,1,96.42857142857143,0.9682539682539684,0.9642857142857143,0.9641456582633054,96.42857142857143,98.21428571428571,100.0,100.0,100.0
shufflenet_v2_No_Augmentation_best.pth,shufflenet_v2,1,98.21428571428571,0.9841269841269842,0.9821428571428571,0.9820728291316527,98.21428571428571,100.0,100.0,100.0,100.0
shufflenet_v2_Spectrogram_Augmentation_best.pth,shufflenet_v2,5,96.42857142857143,0.9714285714285714,0.9642857142857143,0.9650793650793652,100.0,100.0,100.0,100.0,96.42857142857143
