Architecture,Data Augmentation,Val_Accuracy,Val_Precision,Val_Recall,Val_F1
mobilenet_v3,Audio Augmentation,100,100,100,100
mobilenet_v2,Audio Augmentation,98.21,98.41,98.21,98.21
mobilenet_v2,No Augmentation,98.21,98.41,98.21,98.21
mobilenet_v2,Spectrogram Augmentation,98.21,98.41,98.21,98.21
efficientnet_b0,Hybrid Augmentation,98.21,98.41,98.21,98.21
efficientnet_b0,No Augmentation,98.21,98.41,98.21,98.21
efficientnet_b0,Spectrogram Augmentation,98.21,98.41,98.21,98.21
mobilenet_v3,Hybrid Augmentation,98.21,98.41,98.21,98.21
mobilenet_v3,Spectrogram Augmentation,98.21,98.41,98.21,98.21
regnet_y_800mf,Audio Augmentation,98.21,98.41,98.21,98.21
regnet_y_800mf,Hybrid Augmentation,98.21,98.41,98.21,98.21
regnet_y_800mf,Spectrogram Augmentation,98.21,98.41,98.21,98.21
shufflenet_v2,No Augmentation,98.21,98.41,98.21,98.21
mobilenet_v2,Hybrid Augmentation,96.43,97.14,96.43,96.51
regnet_y_800mf,No Augmentation,96.43,96.83,96.43,96.28
shufflenet_v2,Audio Augmentation,96.43,97.14,96.43,96.37
shufflenet_v2,Hybrid Augmentation,96.43,96.83,96.43,96.41
shufflenet_v2,Spectrogram Augmentation,96.43,97.14,96.43,96.51
efficientnet_b0,Audio Augmentation,94.64,96.1,94.64,94.45
mobilenet_v3,No Augmentation,94.64,95.36,94.64,94.72
